round_epochs,loss,recall,val_loss,val_recall,activation1,activation2,dropout,nodes1,optimizer
10,0.01962456665933132,0.16437628865242004,0.015255708247423172,0.17490825057029724,tanh,tanh,0.1,1000,sgd
10,0.006131917703896761,0.4554973244667053,0.0032550566829741,0.47010406851768494,tanh,tanh,0.3,100,adam
10,0.02263878658413887,0.04409332573413849,0.018940359354019165,0.04204154387116432,tanh,tanh,0.3,100,sgd
10,0.0031331763602793217,0.5869220495223999,0.004200384020805359,0.5915964245796204,tanh,tanh,0.3,500,adam
10,0.019681643694639206,0.14855408668518066,0.01440463401377201,0.15689042210578918,tanh,tanh,0.3,500,sgd
10,0.0048195114359259605,0.6069220900535583,0.007382020354270935,0.6082404851913452,tanh,tanh,0.3,1000,adam
10,0.019209926947951317,0.3774998188018799,0.01368887722492218,0.3814758062362671,tanh,tanh,0.3,1000,sgd
10,0.006507342681288719,0.5063250064849854,0.0022926100064069033,0.512145459651947,tanh,tanh,0.5,100,adam
10,0.025000497698783875,0.14565373957157135,0.016461854800581932,0.14050228893756866,tanh,tanh,0.5,100,sgd
10,0.0031378569547086954,0.5522661805152893,0.0015989094972610474,0.5615667104721069,tanh,tanh,0.5,500,adam
10,0.019710587337613106,0.31932970881462097,0.014264692552387714,0.3214164674282074,tanh,tanh,0.5,500,sgd
10,0.004664463456720114,0.5526801347732544,0.0024057808332145214,0.5578271150588989,tanh,tanh,0.5,1000,adam
10,0.019373415037989616,0.20468349754810333,0.014835570007562637,0.21094389259815216,tanh,tanh,0.5,1000,sgd
