round_epochs,loss,accuracy,val_loss,val_accuracy,activation1,activation2,dropout,nodes1,optimizer
10,0.6834933757781982,0.5595189332962036,0.6782151460647583,0.5927689671516418,relu,tanh,0.3,100,sgd
10,0.6657072901725769,0.6023178100585938,0.6589637994766235,0.6142988204956055,relu,tanh,0.3,500,adam
10,0.6842237710952759,0.55982506275177,0.6766149997711182,0.5898098945617676,relu,tanh,0.3,500,sgd
10,0.6696165204048157,0.5959621071815491,0.6624712944030762,0.6046392917633057,relu,tanh,0.3,1000,adam
10,0.6964119076728821,0.5465743541717529,0.7299358248710632,0.5503894686698914,relu,tanh,0.3,1000,sgd
10,0.6614067554473877,0.6087172031402588,0.662690281867981,0.6068500876426697,relu,tanh,0.5,100,adam
10,0.6873136758804321,0.5454518795013428,0.6869488954544067,0.5537566542625427,relu,tanh,0.5,100,sgd
10,0.6672132015228271,0.6007871627807617,0.6625998616218567,0.6131424307823181,relu,tanh,0.5,500,adam
10,0.6863579750061035,0.5503644347190857,0.6809000968933105,0.5819529891014099,relu,tanh,0.5,500,sgd
10,0.6752499938011169,0.5851749181747437,0.666787326335907,0.6118159294128418,relu,tanh,0.5,1000,adam
10,0.6923337578773499,0.5479446053504944,0.7387778162956238,0.5482126474380493,relu,tanh,0.5,1000,sgd
10,0.6501087546348572,0.6208017468452454,0.6568772196769714,0.6145369410514832,tanh,relu,0.1,100,adam
10,0.6837791800498962,0.5590087175369263,0.6842625141143799,0.5505254864692688,tanh,relu,0.1,100,sgd
10,0.6503545641899109,0.620102047920227,0.6588512659072876,0.6150470972061157,tanh,relu,0.1,500,adam
10,0.6795231103897095,0.567521870136261,0.6796393394470215,0.5979728698730469,tanh,relu,0.1,500,sgd
10,0.6506754159927368,0.6171720027923584,0.6571425199508667,0.6137886643409729,tanh,relu,0.1,1000,adam
10,0.6766641139984131,0.5778279900550842,0.6696367263793945,0.5974626541137695,tanh,relu,0.1,1000,sgd
10,0.6567554473876953,0.6151165962219238,0.6613722443580627,0.6034148335456848,tanh,relu,0.3,100,adam
10,0.6826138496398926,0.5639941692352295,0.6748022437095642,0.5990952849388123,tanh,relu,0.3,100,sgd
10,0.6564523577690125,0.614956259727478,0.6565353870391846,0.6137886643409729,tanh,relu,0.3,500,adam
10,0.6823133230209351,0.5610495805740356,0.6809509992599487,0.6039590239524841,tanh,relu,0.3,500,sgd
10,0.6559647917747498,0.6141399145126343,0.6618598103523254,0.6057276725769043,tanh,relu,0.3,1000,adam
10,0.6784753203392029,0.5729737877845764,0.6755978465080261,0.5680419206619263,tanh,relu,0.3,1000,sgd
10,0.6610555648803711,0.611545205116272,0.6560109853744507,0.6151151061058044,tanh,relu,0.5,100,adam
10,0.6836820840835571,0.5608454942703247,0.6801688075065613,0.5981769561767578,tanh,relu,0.5,100,sgd
10,0.659184992313385,0.6120262145996094,0.6616424322128296,0.6113057136535645,tanh,relu,0.5,500,adam
10,0.683361291885376,0.5610787272453308,0.6847392916679382,0.5199142694473267,tanh,relu,0.5,500,sgd
10,0.6590082049369812,0.6115014553070068,0.6587148904800415,0.6139927506446838,tanh,relu,0.5,1000,adam
10,0.6816796064376831,0.5666763782501221,0.6821007132530212,0.549267053604126,tanh,relu,0.5,1000,sgd
10,0.6502358317375183,0.6186734437942505,0.658599853515625,0.6135505437850952,tanh,tanh,0.1,100,adam
10,0.6840139627456665,0.5560349822044373,0.6847179532051086,0.5537226796150208,tanh,tanh,0.1,100,sgd
10,0.6561853289604187,0.6136297583580017,0.6701207756996155,0.5891636610031128,tanh,tanh,0.1,500,adam
10,0.681745707988739,0.5633965134620667,0.6809419989585876,0.5587905049324036,tanh,tanh,0.1,500,sgd
10,0.6637955904006958,0.6071137189865112,0.6605885028839111,0.6107955574989319,tanh,tanh,0.1,1000,adam
10,0.6784946322441101,0.5797813534736633,0.6720667481422424,0.6040610671043396,tanh,tanh,0.1,1000,sgd
10,0.6564874649047852,0.6147813200950623,0.6549440622329712,0.6156933307647705,tanh,tanh,0.3,100,adam
10,0.6822390556335449,0.5629445910453796,0.6745075583457947,0.5879731774330139,tanh,tanh,0.3,100,sgd
10,0.6597055196762085,0.6114140152931213,0.6757306456565857,0.5921907424926758,tanh,tanh,0.3,500,adam
10,0.6832570433616638,0.5618804693222046,0.6804919838905334,0.55909663438797,tanh,tanh,0.3,500,sgd
10,0.6664011478424072,0.6002478003501892,0.6579880714416504,0.6167817711830139,tanh,tanh,0.3,1000,adam
10,0.6835726499557495,0.5637463331222534,0.6889166235923767,0.556103527545929,tanh,tanh,0.3,1000,sgd
10,0.66179358959198,0.6122449040412903,0.6564226150512695,0.6149450540542603,tanh,tanh,0.5,100,adam
10,0.684159517288208,0.5566180944442749,0.6805246472358704,0.5593007206916809,tanh,tanh,0.5,100,sgd
10,0.6626347303390503,0.6104373335838318,0.661998987197876,0.6161695122718811,tanh,tanh,0.5,500,adam
10,0.6829649209976196,0.5606268048286438,0.6811243295669556,0.5588585138320923,tanh,tanh,0.5,500,sgd
10,0.667529284954071,0.6034693717956543,0.6617570519447327,0.6006938815116882,tanh,tanh,0.5,1000,adam
10,0.6834726929664612,0.560029149055481,0.6760241985321045,0.5733818411827087,tanh,tanh,0.5,1000,sgd
